Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Banda ancha fija,Dial up,Accesos por cada 100 hogares,Accesos por cada 100 hab
2023,1,Misiones,30455.0,82834.0,56619.0,12896.0,7881.0,190685,0.0,53.97,14.7
2023,1,Neuquén,28030.0,72639.0,32296.0,23937.0,3510.0,159944,468.0,78.55,23.38
2023,1,Río Negro,33604.0,49128.0,45329.0,16857.0,19413.0,163783,548.0,69.16,21.27
2023,1,Salta,33427.0,96922.0,56259.0,12269.0,6549.0,205421,5.0,57.67,13.97
2023,1,San Juan,38568.0,21215.0,12798.0,21912.0,7274.0,101486,281.0,49.75,12.67
2023,1,San Luis,6283.0,42789.0,6952.0,78954.0,485.0,135281,182.0,90.17,25.8
2023,1,Santa Cruz,9702.0,23839.0,12217.0,3660.0,943.0,50163,198.0,43.42,12.92
2023,1,Santa Fe,138935.0,405618.0,283988.0,43487.0,14246.0,886164,110.0,78.13,24.57
2023,1,Santiago Del Estero,11642.0,80407.0,16656.0,6916.0,2934.0,118553,2.0,47.55,11.8
2023,1,Tierra Del Fuego,12754.0,43146.0,405.0,157.0,651.0,56801,312.0,104.23,30.9
2023,1,Tucumán,55822.0,19482.0,180976.0,4293.0,527.0,261070,30.0,60.34,14.95
2022,4,Buenos Aires,325908.0,2767247.0,1499149.0,129910.0,72451.0,4788466,6199.0,78.94,26.72
2022,4,Capital Federal,138753.0,1238196.0,138548.0,4603.0,31826.0,1549781,2145.0,122.73,50.35
2022,4,Catamarca,8952.0,10998.0,47337.0,1379.0,2243.0,70908,1.0,65.77,16.73
2022,4,Chaco,24582.0,61265.0,47285.0,7957.0,2574.0,143658,5.0,43.62,11.66
2022,4,Chubut,45450.0,73923.0,9815.0,30721.0,8850.0,167855,904.0,85.57,26.23
2022,4,Córdoba,152265.0,456947.0,367393.0,61631.0,11424.0,1049592,68.0,89.03,27.26
